"mae.mean","mae.sd","corr.mean","corr.sd"
"rf",7.339,0.513,0.269,0.084
"lasso",6.426,0.659,0.531,0.107
"ridge",6.334,0.577,0.617,0.058
"elast",6.399,0.648,0.545,0.096
"true ridge",5.262,0.376,0.683,0.062
"true elast",5.65,0.485,0.644,0.066
"true lasso",5.658,0.423,0.639,0.061
"mis ridge",5.659,0.489,0.629,0.074
"mis elast",6.021,0.545,0.584,0.077
"mis lasso",6.103,0.542,0.569,0.075
"rf",7.463,0.504,0.224,0.081
"lasso",6.964,0.713,0.43,0.112
"ridge",7.372,0.562,0.505,0.067
"elast",6.918,0.714,0.43,0.122
"true ridge",5.893,0.439,0.606,0.055
"true elast",6.168,0.479,0.565,0.067
"true lasso",6.141,0.461,0.566,0.066
"mis ridge",6.294,0.536,0.534,0.081
"mis elast",6.585,0.603,0.483,0.095
"mis lasso",6.661,0.596,0.472,0.097
"rf",7.598,0.483,0.18,0.088
"lasso",7.376,0.544,0.357,0.106
"ridge",7.57,0.505,0.419,0.072
"elast",7.338,0.57,0.354,0.124
"true ridge",6.769,0.601,0.461,0.084
"true elast",7.047,0.654,0.417,0.088
"true lasso",6.971,0.601,0.42,0.087
"mis ridge",6.794,0.618,0.437,0.101
"mis elast",6.998,0.712,0.403,0.099
"mis lasso",7.02,0.683,0.397,0.098
