"mae.mean","mae.sd","corr.mean","corr.sd"
"rf",7.339,0.513,0.269,0.084
"ridge",6.334,0.577,0.617,0.058
"elast",6.399,0.648,0.545,0.096
"lasso",6.426,0.659,0.531,0.107
"true ridge",5.162,0.363,0.698,0.056
"true elast",5.602,0.386,0.651,0.052
"true lasso",5.676,0.403,0.644,0.057
"mis ridge",5.925,0.525,0.594,0.084
"mis elast",6.279,0.521,0.545,0.075
"mis lasso",6.328,0.502,0.537,0.073
"rf",7.463,0.504,0.224,0.081
"ridge",7.372,0.562,0.505,0.067
"elast",6.918,0.714,0.43,0.122
"lasso",6.964,0.713,0.43,0.112
"true ridge",5.837,0.445,0.611,0.06
"true elast",6.239,0.505,0.558,0.062
"true lasso",6.213,0.485,0.561,0.069
"mis ridge",6.492,0.527,0.502,0.075
"mis elast",6.802,0.528,0.453,0.074
"mis lasso",6.849,0.519,0.445,0.071
"rf",7.598,0.483,0.18,0.088
"ridge",7.57,0.505,0.419,0.072
"elast",7.338,0.57,0.354,0.124
"lasso",7.376,0.544,0.357,0.106
"true ridge",6.715,0.562,0.465,0.08
"true elast",6.975,0.609,0.421,0.094
"true lasso",7.018,0.605,0.413,0.093
"mis ridge",6.989,0.657,0.383,0.109
"mis elast",7.253,0.638,0.357,0.11
"mis lasso",7.285,0.691,0.352,0.114
